ID,Scenario,Preconditions,Steps,Expected,Actual,Status,Evidence,FIX,,
AUTH-01,Register user,Services up,"Open /register, fill valid data, submit","User created, redirect to /",As expected,PASS,View evidence,,,Home
AUTH-02,Login user,Registered account,Sign in with valid credentials,Redirect to /,As expected,PASS,View evidence,,,
AUTH-03,Unauthorized redirect,Logged out,Open /patients,Redirect to SignIn,“GET /api/admin/users returned 200 with data while logged out.”,FAIL,View evidence,View fix,,
AUTH-04,Session persists,Logged in,Refresh browser,Still authenticated,As expected,PASS,View evidence,,,
,,,,,,,,,,
RBAC-01,Patient-only route hidden,Logged in as doctor,Open /profile/edit,Redirect/hidden,Redirects back to localhost:5173,PASS,View evidence,,,
RBAC-02,Doctor routes visible,Logged in as doctor,Open /patients,Access granted,As expected,PASS,View evidence,,,
RBAC-03,Admin routes visible,Logged in as admin,Open /admin,Access granted,As expected,PASS,View evidence,,,
,,,,,,,,,,
PT-01,Create patient,Doctor logged in,/patients/create -> submit,Patient created,As expected,PASS,View evidence,,,
PT-02,View patient detail,Patient exists,Open /patient/:id,Details visible,As expected,PASS,View evidence,,,
PT-03,Update patient,Patient exists,/patient/update/:id-> submit,Changes persist,Failed to update successfully,FAIL,View evidence,View fix,,
PT-04,Profile redirect,Patient logged in,Open /profile,Redirect to /patient/:id,As expected,PASS,View evidence,,,
,,,,,,,,,,
MSG-01,Conversations list,Messages exist,Open /messages,Lists conversations,As expected,PASS,View evidence,,,
MSG-02,Thread view,Patient with thread,Open /messages/:id,Shows thread,As expected,PASS,View evidence,,,
MSG-03,Send message,Logged in,Send new message,Appears in thread,As expected,PASS,View evidence,,,
MSG-04,Mark read,Message exists,Mark as read,Unread decreases,As expected,PASS,View evidence,,,
MSG-05,Clear thread,Confirm action,Clear thread,Messages removed,As expected,PASS,View evidence,,,
,,,,,,,,,,
NOTIF-01,List notifications,Logged in,Open notifications,Items listed,As expected,PASS,View evidence,,,
NOTIF-02,Unread badge,Unreads exist,View badge,Count accurate,As expected,PASS,View evidence,,,
NOTIF-03,Mark read,Item exists,Mark read,Count -1,"As expected, refer to MSG-04",PASS,View evidence,,,
NOTIF-04,Mark all read,Unreads exist,Mark all,Count = 0,As expected,PASS,View evidence,,,
,,,,,,,,,,
RISK-01,First run not cached,Patient exists,Run /predict/:id,cached=False; DB updated,As expected,PASS,View evidence,,,
RISK-02,Second run cached,After RISK-01,Run again,cached=True,As expected,PASS,View evidence,,,
RISK-03,Label mapping,Any score,Verify label bins,Correct label,As expected,PASS,View evidence,,,
,,,,,,,,,,
TH-01,Predict probabilities,Inputs ready,Call from UI,3 probs + insight + factors,As expected,PASS,View evidence,,,
,,,,,,,,,,
TR-01,Get recommendation,Inputs ready,Submit question,Response shown,As expected,PASS,View evidence,,,
,,,,,,,,,,
CB-01,Patient query,Inputs ready,Ask question,Concise markdown reply,As expected,PASS,View evidence,,,
,,,,,,,,,,
ADM-01,Manage users,Admin logged in,Update user,Success state,As expected,PASS,View evidence,,,
ADM-02,Manage patients,Admin logged in,Assign doctor,Success state,Fail to assign a doctor,FAIL,View evidence,View fix,,
,,,,,,,,,,
INT-01,CORS ok,URLs set,Frontend->FastAPI and Frontend->Laravel,No CORS errors,,,./images/int-01.png,,,
INT-02,SPA catch-all,Laravel serving,Refresh deep route,Index served,,,./images/int-02.png,,,
